
# Size
size:
23;22

# Number of ticks per one step
speed:
10

position:
1;1

# Walls
walls:

# Left border
0;0
0;1
0;2
0;3
0;4
0;5
0;6
0;7
0;8
0;9
0;10
0;11
0;12
0;13
0;14
0;15
0;16
0;17
0;18
0;19
0;20
0;21

# Right border
22;0
22;1
22;2
22;3
22;4
22;5
22;6
22;7
22;8
22;9
22;10
22;11
22;12
22;13
22;14
22;15
22;16
22;17
22;18
22;19
22;20
22;21

# Bottom border
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0

# Top border
1;21
2;21
3;21
4;21
5;21
6;21
7;21
8;21
9;21
10;21
11;21
12;21
13;21
14;21
15;21
16;21
17;21
18;21
19;21
20;21
21;21

# Lower bank
2;2
3;2
4;2
5;2
6;2
7;2
8;2
9;2
6;3
6;4

11;2
11;3
8;4
9;4
10;4
11;4
12;4
13;4
14;4

13;2
14;2
15;2
16;2
17;2
18;2
19;2
20;2
16;3
16;4

1;4
2;4

20;4
21;4

4;4
4;5
4;6
3;6
2;6

18;4
18;5
18;6
19;6
20;6

6;6
7;6
8;6
9;6

13;6
14;6
15;6
16;6

1;8
2;8
3;8
4;8

18;8
19;8
20;8
21;8

6;8
7;8
8;8
9;8
10;8
11;8
12;8
13;8
14;8
15;8
16;8
11;7
11;6

# Middle bank
2;10
2;11
2;12
3;12

20;10
20;11
20;12
19;12

4;10
5;10
6;10
5;11
5;12

16;10
17;10
18;10
17;11
17;12

7;12
8;12
8;11
8;10
9;10
10;10

12;10
13;10
14;10
14;11
14;12
15;12

10;12
11;12
12;12

# Upper bank
1;14
2;14
3;14
4;14

6;14
7;14
8;14
9;14
10;14
11;14
12;14
13;14
14;14
15;14
16;14

18;14
19;14
20;14
21;14

2;16
3;16
4;16
5;16
6;16
7;16
8;16
9;16

13;16
14;16
15;16
16;16
17;16
18;16
19;16
20;16

11;16
11;17
11;18
11;19
11;20

2;18
3;18
4;18
5;18
2;19
3;19
4;19
5;19

7;18
8;18
9;18
7;19
8;19
9;19

13;18
14;18
15;18
13;19
14;19
15;19

17;18
18;18
19;18
20;18
17;19
18;19
19;19
20;19
